stop_id,stop_name,stop_lat,stop_lon
1001,"Achtelky",49.185345,16.542757
1002,"Akátky",49.208635,16.64873
1003,"Antonína Procházky",49.193926,16.560528
1004,"Adamcova",49.218339,16.519955
1006,"Antonínská",49.203426,16.606797
1007,"Anthropos",49.193345,16.566013
1008,"Arbesova",49.225977,16.630652
1010,"Airport Park",49.158125,16.683869
1011,"Autobusové nádraží",49.186521,16.617986
1012,"Bartákova",49.203985,16.678964
1013,"Barvičova",49.201118,16.575765
1014,"Babická",49.228067,16.652341
1015,"Bartolomějská",49.203599,16.489424
1016,"Bednářova",49.161902,16.61357
1017,"Bellova",49.194042,16.531232
1018,"Bělohorská",49.189951,16.662938
1021,"Běloruská",49.17059,16.581157
1023,"Bieblova",49.215971,16.615406
1026,"Bílá hora",49.194275,16.667629
1028,"Blažkova",49.230083,16.631032
1031,"Bohunická",49.162408,16.599597
1033,"Borodinova",49.196244,16.545493
1034,"Borovník",49.198485,16.499738
1036,"Bořetická",49.201411,16.658674
1037,"Bosonohy",49.176446,16.525653
1038,"Botanická",49.210704,16.597622
1041,"Bráfova",49.206994,16.570547
1042,"Branka",49.219371,16.547813
1043,"Brechtova",49.233751,16.629322
1046,"Brněnky",49.178866,16.675155
1047,"Burianovo náměstí",49.212378,16.578603
1048,"Buzkova",49.19415,16.641128
1052,"Bzenecká",49.20597,16.66112
1053,"Celní",49.179358,16.595285
1055,"Čápkova",49.203434,16.593136
1058,"Čejkovická",49.200336,16.662161
1061,"Čermákova",49.164343,16.565103
1062,"Černého",49.213984,16.52295
1063,"Černohorská",49.258708,16.571389
1064,"Černovická terasa I",49.171508,16.673293
1065,"Černovická terasa II",49.167728,16.675694
1066,"Černovická",49.176879,16.627324
1067,"Černovické nábřeží",49.180623,16.62986
1068,"Černovičky",49.183212,16.668265
1069,"Čertova rokle",49.226399,16.623268
1070,"Červený kopec",49.182091,16.587995
1071,"Červený písek",49.220472,16.657354
1072,"Červinkova",49.225029,16.582866
1073,"Česká",49.19797,16.60599
1077,"Čtvery hony",49.22588,16.645263
1078,"Čtvrtě",49.178319,16.56233
1082,"Dělnický dům",49.195559,16.649869
1083,"Depo ČD",49.214863,16.652828
1085,"Díly",49.25425,16.574421
1086,"Dětská nemocnice",49.202933,16.61883
1087,"Divišova čtvrť",49.223589,16.613021
1088,"Dobrovského",49.21806,16.58765
1091,"Dohnalova",49.25039,16.618338
1092,"Dolní Heršpice",49.152198,16.621592
1095,"Drážní",49.167392,16.685454
1096,"Drdy",49.209414,16.492426
1097,"Dunajská",49.169155,16.556081
1098,"Dvorska, smyčka",49.143394,16.707386
1100,"Erbenova",49.209515,16.615701
11001,"Brno-Černovice",49.188984,16.631233
11002,"Brno-Horní Heršpice",49.167404,16.60686
11009,"Brno-Starý Lískovec",49.162195,16.571098
1101,"Dvůr v lese",49.125693,16.633448
1102,"Ečerova",49.218242,16.509265
1103,"Elplova",49.210447,16.674989
1104,"Edisonova",49.22828,16.576461
1105,"Ericha Roučky",49.175227,16.669237
1106,"Faměrovo náměstí",49.176871,16.640466
1107,"Filipova",49.217638,16.52517
1108,"Filkukova",49.243881,16.581656
1111,"Fillova",49.229226,16.616897
1112,"Fügnerova",49.219976,16.619348
1113,"Gajdošova",49.198483,16.645774
1116,"Geislerova",49.192767,16.635051
1117,"Glinkova",49.193913,16.544278
1118,"Glocova",49.151212,16.659301
1121,"Grohova",49.20124,16.599535
1122,"Gruzínská",49.166131,16.585378
1127,"Hájecká",49.17466,16.641766
1128,"Halasovo náměstí",49.223382,16.622508
1130,"Hamerláky",49.237154,16.603972
1131,"Hanácká",49.147098,16.667018
1132,"Haškova",49.233657,16.624466
1136,"Havránkova",49.157661,16.621496
1137,"Heinrichova",49.200413,16.584511
1138,"Heleny Malířové",49.223278,16.629363
1139,"Helenčina",49.206852,16.486036
1141,"Heršpická",49.170364,16.59963
1143,"Hlavní",49.216993,16.560352
1144,"Hladíkova",49.187274,16.62586
1146,"Hlavní nádraží",49.191636,16.612845
1147,"Hluboká",49.175552,16.5962
1148,"Hněvkovského",49.169713,16.626163
1149,"Holandská",49.1817,16.605765
1150,"Högrova",49.228712,16.604394
1151,"Holásky",49.143337,16.650773
1152,"Holzova",49.1948,16.696965
1153,"Horácké náměstí",49.247766,16.582363
1154,"Holásecká",49.147593,16.661368
1155,"Horská",49.221613,16.57949
1156,"Horní Heršpice",49.166686,16.61655
1157,"Horníkova",49.211974,16.676556
1160,"Hradiska",49.23054,16.657064
1161,"Hoštická",49.173825,16.528135
1162,"Houbalova",49.205855,16.674029
1163,"Hrad Špilberk",49.195209,16.598154
1166,"Hrnčířská",49.210437,16.602748
1167,"Hudcova",49.235497,16.587256
1168,"Humenná",49.167777,16.573016
1171,"Husitská",49.223614,16.594592
1172,"Hutařova",49.226182,16.588379
1173,"Hviezdoslavova",49.181927,16.676587
1176,"Hybešova",49.189266,16.603113
1177,"Schodová",49.206603,16.612234
1178,"Chaloupky",49.222913,16.556764
1181,"Charvatská",49.219391,16.592381
1182,"Chrlice, smyčka",49.12657,16.654794
1183,"Chrlice, nádraží",49.13196,16.656822
1185,"Chvalovka",49.214874,16.499895
1186,"Chrlická",49.14413,16.665114
1187,"Chrlické náměstí",49.135609,16.653533
1189,"Ivanovice, Globus",49.262808,16.57799
1191,"Ivanovické náměstí",49.153348,16.653773
1193,"Janáčkovo divadlo",49.198081,16.610171
1195,"Jarmily Kurandové",49.230235,16.604438
1196,"Jandáskova",49.255658,16.589678
1197,"Jarní ČD",49.220582,16.652825
1198,"Jehnice",49.271378,16.595779
12002,"Spešov",49.393878,16.630693
12003,"Spešov, horní část",49.39406,16.62594
12004,"Lipůvka",49.338776,16.552699
12005,"Lipůvka, ZŠ",49.338142,16.558029
12006,"Svinošice",49.333298,16.574451
12007,"Svinošice, náves",49.333645,16.575506
12008,"Šebrov-Kateřina, Sv. Kateřina",49.330247,16.614367
12009,"Šebrov-Kateřina, Šebrov",49.328891,16.598355
12011,"Vavřinec, Nové Dvory",49.381265,16.712819
12012,"Vavřinec, Suchdol",49.391377,16.717568
12013,"Vavřinec, Veselice",49.395137,16.713123
12014,"Milonice",49.36808,16.565709
12016,"Závist",49.374632,16.572812
12018,"Kunštát, Touboř, rozcestí",49.497688,16.489758
12019,"Kunštát, Újezd",49.50691,16.539206
1202,"Jemelkova",49.173248,16.548706
12020,"Makov",49.518297,16.484328
12021,"Makov, hájenka",49.517438,16.477055
12022,"Nýrov",49.527963,16.536341
12023,"Zbraslavec",49.484485,16.528109
12024,"Zbraslavec, rozcestí k závodu",49.489828,16.523143
12025,"Zbraslavec, závod Best",49.490995,16.519361
12026,"Hodonín u Kunštátu",49.501284,16.409916
12027,"Tasovice",49.496425,16.440405
12028,"Tasovice, rozcestí",49.511078,16.435412
12029,"Okrouhlá",49.508335,16.732441
1203,"Jílkova",49.196001,16.636897
12030,"Okrouhlá, horní konec",49.510832,16.738122
12031,"Újezd u Černé Hory, SDP",49.378227,16.556024
12032,"Újezd u Černé Hory",49.3704,16.544608
12033,"Boskovice, Šmelcovna",49.48833,16.691848
12034,"Boskovice, Hrádkov",49.489347,16.70287
12035,"Boskovice, Vratíkov",49.496974,16.710415
12036,"Sebranice, Vaculka",49.492859,16.588124
12037,"Sebranice, ALPS",49.491011,16.58875
1204,"Jezerní",49.141383,16.61721
12040,"Blansko, Písečná, hotel Probe",49.354507,16.653087
12041,"Blansko, Komenského",49.359837,16.638651
1206,"Jindřichova",49.213196,16.583044
1207,"Jiránkova",49.187536,16.633489
1208,"Jírova",49.209219,16.687734
1209,"Jírovcova",49.188047,16.534331
12102,"Brno, Na Spáleništi",49.243873,16.713933
12104,"Ochoz u Brna, kamenolom",49.253999,16.753389
12105,"Ochoz u Brna, myslivna pod Hádkem",49.2517,16.764203
12106,"Ochoz u Brna, Na pastýřkách",49.251335,16.733611
12107,"Ochoz u Brna, příhon",49.254627,16.746378
12108,"Ochoz u Brna, U Votrubů",49.255852,16.732638
12109,"Ochoz u Brna, rozcestí Kanice",49.262329,16.729613
1211,"Jugoslávská",49.204675,16.623891
12110,"Ochoz u Brna, Říčky, rozc.",49.245586,16.724876
12111,"Ochoz u Brna, obecní úřad",49.254296,16.736846
12113,"Bílovice nad Svitavou, UP závody",49.250448,16.67738
12115,"Bílovice nad Svitavou, u kapličky",49.24842,16.674345
12118,"Kanice",49.264053,16.713886
1212,"Juliánov",49.196209,16.654629
12120,"Kanice, koupaliště",49.260693,16.70841
12121,"Kanice, škola",49.264457,16.711083
12122,"Řícmanice",49.257062,16.693207
12123,"Řícmanice, u lomu",49.258378,16.701651
12124,"Řícmanice, u skály",49.253507,16.680573
12125,"Řícmanice, Na Štukách",49.254554,16.685905
1213,"Jundrov",49.211751,16.55065
1214,"Jundrovský most",49.210068,16.557459
1215,"Jundrovská",49.211889,16.560144
12151,"Bílovice nad Svitavou, Na Nivách",49.242503,16.658286
12153,"Bílovice nad Svitavou, Polanka",49.250009,16.667782
12154,"Bílovice nad Svitavou, hřbitov",49.245226,16.66803
12155,"Bílovice nad Svitavou, Nad Tratí",49.250683,16.669068
12156,"Bílovice nad Svitavou, Soběšická",49.244264,16.657272
12157,"Bílovice nad Svitavou, Vodárenská",49.244169,16.661221
12158,"Bílovice nad Svitavou, žel. stanice",49.243028,16.674009
12159,"Bílovice nad Svitavou, Vojanka",49.251396,16.665709
1216,"Jundrov, hřiště",49.204663,16.560121
12160,"Bílovice nad Svitavou, náměstí",49.246771,16.67254
1217,"Vozovna Komín",49.213719,16.559676
1218,"Jungmannova",49.22097,16.5965
12201,"Babice nad Svitavou, dolní zastávka",49.279869,16.694012
12202,"Babice nad Svitavou, horní zastávka",49.284465,16.696982
12205,"Březina, jeskyně Výpustek",49.291428,16.726978
12206,"Březina, Lhotky, rozcestí 1.7",49.286848,16.764426
12207,"Březina, u pomníku",49.282012,16.754153
12208,"Březina, Táborská",49.281478,16.749272
12209,"Březina, u sokolovny",49.28416,16.759465
1221,"Kamechy",49.215518,16.495697
12210,"Bukovinka, Pindula",49.295128,16.796592
12211,"Bukovina",49.297528,16.772977
12212,"Bukovina, rozcestí 2.0",49.290291,16.763768
12213,"Bukovina, škola",49.29808,16.775843
12215,"Bukovinka",49.293166,16.805062
12216,"Habrůvka",49.302742,16.723657
12218,"Habrůvka, Josefov",49.308362,16.690512
12219,"Adamov, Stará huť",49.306628,16.677588
1222,"Kamenice",49.177702,16.573063
12220,"Křtiny, arboretum",49.318617,16.744597
12221,"Křtiny, Kolonka",49.302159,16.743308
12222,"Křtiny, koupaliště",49.294592,16.747538
12223,"Křtiny, pivovar",49.292333,16.75651
